name,place_type,address,district,province,phone,latitude,longitude,proposed_trust_status,source_type,source_reference,external_provider,external_id,certification_number,certification_expires_at,review_state,review_note,review_hold_reason,source_checked_at,coordinate_checked_at
"Sophia Restaurant (Halal)","RESTAURANT","1 ซอยรามคำแหง 5 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250","สวนหลวง","กรุงเทพมหานคร","+66 2 314 0039","","","HALAL_CERTIFIED","OFFICIAL_CERTIFICATION","https://halal.co.th/th/product/detail/505318","google_places","ChIJYYbHfDme4jAR7dyipv4mqTA","100J0510011161","2026-11-02T23:59:59+07:00","DISCOVERED","Official CICOT certificate is active for the restaurant. Coordinates still require controlled review before promotion.","","",""
"The Twin Lotus Hotel","ACCOMMODATION","6 ถนนพัฒนาการคูขวาง ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000","เมืองนครศรีธรรมราช","นครศรีธรรมราช","+66 75 323 777","8.399505","99.977287","HALAL_CERTIFIED_SERVICE","OFFICIAL_CERTIFICATION","https://halal.co.th/th/product/detail/392345","google_places","ChIJF7qxAkYBUzAR81Ar0UQtRCw","100C5470010356","2026-10-22T23:59:59+07:00","GEOCODED","Coordinate review 2026-09-25: Hotelprio lists GPS 8.399505, 99.977287 for Twin Lotus Hotel at the same 6 Pattanakarn-Kukwang Road address; current Google Hotels and the official hotel site independently match the address and phone. CICOT certificate 100C5470010356 remains scoped to ครัวฮาลาล service only through 2026-10-22, not whole-property certification.","","2026-09-25T12:41:00+07:00","2026-09-25T12:41:00+07:00"
"ร้านอิสลามสตูลทุ่งสง","RESTAURANT","5JGJ+8W5 ตำบลหนองหงส์ อำเภอทุ่งสง นครศรีธรรมราช 80110","ทุ่งสง","นครศรีธรรมราช","+66 80 717 8803","8.17611110","99.63243720","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.google.com/maps/search/?api=1&query_place_id=ChIJb3CdTvpHUjAR3tOKF9C10SI","google_business","ChIJb3CdTvpHUjAR3tOKF9C10SI","","","GEOCODED","Cross-check 2026-09-25: provider ID still resolves to the same halal-restaurant listing with matching address and phone. Coordinate verified from current Google Directions destination for the listing: 8.17611110, 99.63243720. Official certification or Muslim ownership is not established.","","2026-09-25T11:23:00+07:00","2026-09-25T12:10:00+07:00"
"มัสยิดอันซอรุสซุนนะฮฺ","MOSQUE","85 หมู่ 6 ตำบลปริก อำเภอทุ่งใหญ่ นครศรีธรรมราช 80240","ทุ่งใหญ่","นครศรีธรรมราช","+66 95 671 7510","8.2407216433","99.4464044519","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/178/6","google_business","ChIJq-pE79cwUjARe4XMnk8_Iz8","","","GEOCODED","Cross-check 2026-09-25: CICOT confirms the mosque in Moo 6, Prik, Thung Yai. Coordinate verified from MasjidThai embedded Google Map: 8.2407216433, 99.4464044519. Phone sources conflict (CICOT 081-367-2137 vs MasjidThai/staging 095-671-7510), so do not auto-correct the phone.","Resolve conflicting phone sources before approval.","2026-09-25T11:23:00+07:00","2026-09-25T12:10:00+07:00"
"มัสยิดนูรุ้ลเอี๊ยะซาน","MOSQUE","88 หมู่ 7 ตำบลชุมโค อำเภอปะทิว ชุมพร 86160","ปะทิว","ชุมพร","+66 86 282 3212","10.8061625","99.353109375","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/207","google_business","ChIJQ5PVCG9I_zARGdUJDBT9v_g","","","GEOCODED","Coordinate review 2026-09-25: current listing uses Plus Code R943+F69. Re-decoded with the official Google Open Location Code 11-character grid algorithm; area center: 10.8061625, 99.353109375. CICOT confirms 88 Moo 7, Chum Kho, but phone sources still conflict, so keep the manual hold.","Resolve conflicting CICOT and Google phone numbers before approval.","2026-09-25T11:23:00+07:00","2026-09-25T12:41:00+07:00"
"มัสยิดมูฮาญิรีน","MOSQUE","P5Q6+4G8 ตำบลท่าแซะ อำเภอท่าแซะ ชุมพร 86140","ท่าแซะ","ชุมพร","","10.7377875","99.161328125","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.google.com/maps/search/?api=1&query_place_id=ChIJJeREHGyz-DARhCUH0WYc12Y","google_business","ChIJJeREHGyz-DARhCUH0WYc12Y","","","GEOCODED","Coordinate review 2026-09-25: current listing uses Plus Code P5Q6+4G8. Re-decoded with the official Google Open Location Code 11-character grid algorithm; area center: 10.7377875, 99.161328125. MasjidThai registers the mosque at 1 Moo 1, Hong Charoen, so keep the address-identity manual hold until reconciled.","Resolve registered administrative address versus staging map address before approval.","2026-09-25T11:23:00+07:00","2026-09-25T12:41:00+07:00"
"มัสยิดกลางจังหวัดเพชรบุรี","MOSQUE","3178 ท่าแร้ง หน้าอำเภอ ตำบลบ้านแหลม อำเภอบ้านแหลม เพชรบุรี 76110","บ้านแหลม","เพชรบุรี","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.google.com/maps/search/?api=1&query_place_id=ChIJP0BtFTom_TARfXE8GeUMrYM","google_business","ChIJP0BtFTom_TARfXE8GeUMrYM","","","DISCOVERED","Cross-check 2026-09-25: current Google ID still resolves to the central mosque at the staging address; community cultural records identify the Tha Raeng central mosque as Yamiul Islam, Moo 4. Identity is supported; exact coordinates still require controlled review.","","2026-09-25T11:23:00+07:00",""
"SALASA HALAL RESTAURANT KHAOYAI","RESTAURANT","165 หมู่ 15 ถนนธนะรัชต์ ตำบลหมูสี อำเภอปากช่อง นครราชสีมา 30130","ปากช่อง","นครราชสีมา","+66 80 050 4193","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.google.com/maps/search/?api=1&query_place_id=ChIJgZfAAmsyHDERlceMtKji41g","google_business","ChIJgZfAAmsyHDERlceMtKji41g","","","DISCOVERED","Cross-check 2026-09-25: current Google listing matches 165 Moo 15 Thanarat Rd, Mu Si and phone 080-050-4193; current travel/restaurant sources show active halal dining. No official certification evidence established; keep UNVERIFIED. Coordinates require controlled review.","","2026-09-25T11:23:00+07:00",""
"มัสยิดยันน่าตุ้ลฟิรเดาซ์","MOSQUE","หมู่ 2 ตำบลปากช่อง อำเภอปากช่อง นครราชสีมา 30130","ปากช่อง","นครราชสีมา","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://cicot.or.th/th/mosque/lists/2/3","google_business","ChIJg8AZfzEqHDERIEmyXoK-g_0","","","DISCOVERED","Recheck 2026-09-25: current CICOT directory lists Yannatul Firdaus Mosque at Moo 2, Pak Chong. Current local mosque directories also place Masjid Jannathul Firthausi on Tessaban 22 Rd / Trok Chumchon Surao in Pak Chong. Older Thailand halal travel guides identify Pakistan Yannatul Firdaus Mosque at Kaek Market, Trok Chumchon Surao near Pak Chong Bus Station, Mu 11. The sources may refer to the same mosque using different administrative/address conventions, but this must be reconciled before approval. Do not infer coordinates from the historical address.","Resolve current CICOT Moo 2 address versus historical Mu 11 / Kaek Market / Trok Chumchon Surao address before approval.","2026-09-25T15:56:00+07:00",""
"ร้านอาหารอิสลามตลาดแขก อ.ปากช่อง","RESTAURANT","อำเภอปากช่อง นครราชสีมา 30130","ปากช่อง","นครราชสีมา","+66 88 711 7127","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.google.com/maps/search/?api=1&query_place_id=ChIJu4-pVzEqHDERNKY1RFId_Yc","google_business","ChIJu4-pVzEqHDERNKY1RFId_Yc","","","DISCOVERED","Cross-check 2026-09-25: current Google ID, Wongnai and restaurant directories support the same Pak Chong halal restaurant and phone 088-711-7127. Public category evidence is not official certification; keep UNVERIFIED. Coordinates require controlled review.","","2026-09-25T11:23:00+07:00",""
